field_id,centroid_lat,centroid_lon,area_sqm,source_cell,ndvi_apr,ndvi_may,ndvi_june,ndvi_apr_june_change,ndre_apr,ndre_may,ndre_june,ndwi_apr,ndwi_may,ndwi_june,ndyi_apr,ndyi_may,ndyi_june,valid_pixel_fraction,baseline_rule_pass,sunflower_candidate_score,candidate_tier,training_label,label_method,label_provenance,real_pu_spent
7JXRVQCG+JVGR,29.871555,76.777187,3828.7059,390e3e34,0.1534280924806519,0.13166769629433042,0.09324092453434354,0.06018716794630835,0.08328579280466314,0.08860072463396049,0.05042209504782001,-0.12359143834975032,-0.1371401954974447,-0.08927643374218383,0.17032488116196223,0.15920611882493613,0.11503770911977404,0.917,False,0.3211,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRVRM6+9H6R,29.883322,76.81149,8253.3926,390e3fec,0.1409514191604796,0.09957361263888223,0.0693254813938568,0.0716259377666228,0.07110505981282109,0.053367185710175416,0.021110704426800592,-0.11150353189025604,-0.14508033978442353,-0.13678019874108335,0.16506534309259482,0.13501511365175248,0.0694751300962664,0.917,False,0.3351,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRVVHW+GCCC,29.878868,76.896072,4119.1439,390e41e4,0.14999985369661498,0.10834545684712274,0.07380440600571177,0.07619544769090321,0.07437244048785595,0.05505295354107927,0.03093186745213138,-0.12178838004668552,-0.16514585472288584,-0.13598585542705327,0.16446107939358742,0.16152666814270472,0.10633584833334364,0.833,False,0.33,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRVVM2+5W8F,29.882806,76.852425,7660.4183,390e403c,0.1585852972098759,0.1039389405931745,0.06777950887120023,0.09080578833867568,0.08064415235634124,0.049329064295549556,0.023667933880031463,-0.14001302580748287,-0.18121939752073515,-0.1322399410676187,0.17599714476437792,0.18656515026731152,0.09643744987947664,0.917,False,0.3519,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRVWMV+97Q5,29.883413,76.943297,4822.2312,390e4274,0.14789912690009388,0.10580016617872282,0.07471310984039184,0.07318601705970204,0.07937854414387627,0.054916967774684335,0.030441270600671748,-0.11043812397259231,-0.1391888501388686,-0.10341796227635777,0.1562619254145087,0.15551205745765143,0.10807400231002548,1.0,False,0.3434,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRVXCP+2C5C,29.869959,76.986163,3840.0266,390e6824,0.14612301661529473,0.11734267349044483,0.06498930020380714,0.08113371641148759,0.10024760360506156,0.08516980307952811,-0.011080749282781546,-0.12757022144715946,-0.13149220226849948,0.13561136989543834,0.16119055279220146,0.14594366807076664,0.14188266173005104,0.833,False,0.3399,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRWQHC+GVM6,29.928772,76.772286,8480.8675,390e3edc,0.18832570726509057,0.11459237084120182,0.09348066343547225,0.09484504382961832,0.10691021413341052,0.05583841211026904,0.047341845093767036,-0.12533233090962245,-0.10317730662760909,-0.14851234831775612,0.18894638129315533,0.18391727747825476,0.12838853641853232,0.75,False,0.3284,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRWRP3+J6FJ,29.936565,76.803069,5906.0616,390e3f44,0.1593463061584367,0.10276041465500992,0.08852485058208306,0.07082145557635364,0.08758486565202474,0.05755820954296116,0.04199586485822996,-0.08747019864062572,-0.13192087809244793,-0.1391675164923072,0.1741595947080188,0.15443524919450285,0.14158015530556442,0.75,False,0.3094,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRWRRX+PVWG,29.941881,76.849825,9420.8848,390e40c4,0.628985256968457,0.5908855043075703,0.12725175806769615,0.5017334989007608,0.4031252085150759,0.3399747881348486,0.06914692117317356,0.2222579053838818,0.16742505448292594,-0.07991779878854828,0.33176525134915186,0.3594379248685957,0.13115772549752833,0.833,True,0.7364,A,SUNFLOWER_WEAK_POSITIVE_HIGH,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
7JXRWVPW+9Q5M,29.935796,76.896979,3158.5248,390e416c,0.15133563739558062,0.1079133581618468,0.07361671634846265,0.07771892104711797,0.08947194971454639,0.06186342454204957,0.029136458365246656,-0.0640445043410485,-0.12692075168093045,-0.12217699777748849,0.18479540919264154,0.14840733145674073,0.11081619511047998,0.917,False,0.3396,D,NON_SUNFLOWER_TEMPORAL_NEGATIVE,cofounder_green_to_brown_temporal_heuristic,"Weak label derived from the co-founder's Google Earth field observation (Delhi->Chandigarh drive, 2026-05-09, large sunflower areas in full bloom near Kurukshetra-Karnal) and her resulting Sentinel-2 temporal hypothesis (April green -> May flowering-period green -> June harvested/brown/ploughed). NOT independently confirmed sunflower ground truth. NOT derived from or cross-checked against AMED crop labels.",0.6933333539962768
